R1,R2,QT,PT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
460,520,2526221809,1045339,133878760,56,4,4,4,55519,1549
460,758,2404335083,5965146,183602064,39,4,23,19,44714,12928
460,759,2317911541,6818197,94613408,36,4,23,19,42411,13560
460,789,2276171004,8284593,145062464,35,7,26,19,44390,14465
460,790,2291055434,7076587,195519248,35,4,23,19,42761,14547
461,520,2374529359,1242827,107609072,55,4,4,4,55488,2704
461,758,2286293634,5900896,155092960,39,4,23,19,44714,13764
461,759,2284783420,7010130,202580936,36,4,23,19,42411,14335
461,789,2344801175,8578704,97192664,35,7,26,19,44390,15281
461,790,2275833757,7333684,146023336,35,4,23,19,42761,15308
466,526,2390336161,5161404,194836928,60,4,1,4,87540,5441
466,527,2289074558,470330,81341224,3,4,4,4,7854,1257
467,527,2385130098,483123,123781960,1,4,3,6,6402,2119
467,706,2297389853,2097637,157106728,21,4,4,4,39644,11348
467,736,2264673701,1171534,184386752,10,4,4,4,22417,6744
467,766,2289819405,1351406,208634976,10,4,4,4,22417,7445
467,826,2255367228,1161551,72004584,6,4,4,4,16327,6365
468,496,2152891782,4234011,93778320,12,4,7,4,33496,13061
468,526,2151521467,6512627,112439784,12,4,7,4,33496,13993
468,556,2189933225,4756508,131125744,12,4,7,4,33496,14873
468,586,2141835857,4807754,149828392,12,4,7,4,33496,15485
468,616,2158327797,4848572,168493880,12,4,7,4,33496,16266
490,758,2308430919,5992146,221387512,40,4,23,19,45415,12270
490,759,2278699265,6896456,105645496,37,4,23,19,43112,13000
490,789,2263620550,7514458,158601168,39,4,23,19,45091,13875
490,790,2293979141,7097292,208479360,36,4,23,19,43462,14047
496,556,2492602276,6961190,116497464,78,4,2,4,102186,6553
496,586,2432153260,8680326,179929952,74,4,4,4,98887,9626
496,616,2460537955,8808544,88376312,70,4,4,4,95231,13581
496,647,2350717928,1263991,110593992,2,4,6,6,8858,3095
496,676,2449818336,11127490,164533080,57,4,5,4,86507,18242
497,677,2236582293,2919546,174050440,2,4,3,7,10167,3860
497,706,2282437766,5056057,196274024,5,4,4,4,16588,8425
497,707,2246932458,2090940,212143728,2,4,7,9,9735,4360
498,526,2219130168,4868268,73272952,12,4,7,4,34513,14906
498,527,2250839534,337774,112022120,13,4,0,4,21856,391
520,758,2311916629,5896086,166867680,40,4,23,19,45415,11397
520,759,2297284641,6761013,215294264,37,4,23,19,43112,12188
520,760,2280678803,6718031,101390392,34,4,23,19,42143,13555
520,761,2234475259,7062093,149861048,34,4,23,19,42143,13848
520,762,2265852492,8136807,201512368,34,4,23,19,42143,15097
520,789,2329976911,7264321,101419416,39,4,23,19,45091,13022
520,790,2308484038,7037008,150317312,36,4,23,19,43462,13258
520,792,2307394714,8742673,202475360,34,4,23,19,42143,15537
523,553,2071379162,37456,215511360,8,4,0,4,27920,24
523,585,2058378590,484692,228547328,4,4,4,4,22823,1155
523,616,2055691940,1095892,65372976,3,4,5,5,21004,2096
523,646,2059493166,1166184,75153384,3,4,5,5,21004,2411
524,553,2077244110,124966,91450608,5,4,4,4,24043,395
526,557,2406935357,1079780,127312408,4,4,3,5,15822,2297
526,587,2393395167,1868079,156677728,4,4,5,5,15808,3724
526,647,2360223848,965409,176275480,2,4,4,5,8858,3005
526,676,2462763993,9687319,83889840,65,4,5,4,93799,15454
526,736,2349610127,39089151,120340016,31,4,3,4,48624,16590
526,766,2380606499,40652317,156793608,31,4,4,4,48624,18357
527,708,2368208952,1440510,170068832,1,4,3,5,8348,5092
553,585,2054232594,413572,183316704,4,4,5,4,22823,1159
553,616,2048207161,713895,193252632,3,4,5,5,21004,2087
553,646,2016838357,1162387,206502560,3,4,5,5,21004,2402
556,826,2398542160,22545843,87764296,25,4,4,4,38932,15522
557,587,2454924505,66419,150745144,40,4,0,4,67722,89
557,617,2458195268,1279686,207123656,30,4,6,6,51226,1636
557,647,2431193130,1477003,84788032,29,4,6,6,50900,2794
557,736,2380294021,5934601,118561296,4,4,3,4,18298,11820
580,760,2273058833,9876651,169199760,36,4,22,20,44050,13284
580,761,2248865012,10349134,223214400,36,4,23,20,44050,13620
580,762,2269609006,11539012,103465624,36,4,23,20,44050,14925
580,792,2289254260,11853602,154102800,36,4,23,20,44050,15384
585,707,2033692198,3802102,164236552,2,4,8,7,19380,6865
586,826,2484827842,21146112,211497832,25,4,4,4,38932,14045
587,588,2261291358,32799,224998264,12,4,0,4,26509,32
587,592,2201855622,2802475,62205424,5,4,5,4,18563,5710
587,593,2206795140,2750664,72467672,5,4,5,4,18563,5809
587,616,2311304061,5272445,103225408,12,4,6,4,33734,19160
587,678,2266002111,3252703,113477176,4,4,5,4,16054,7523
587,679,2203961120,3674801,123731104,4,4,7,5,17434,8598
587,736,2260772699,6468079,151092872,4,4,3,5,18892,12214
588,736,2073132830,2633162,157934832,1,4,5,7,9998,4377
588,766,2041752992,1471756,164769360,1,4,6,7,9828,4089
588,796,2054391925,2300785,178446552,1,4,7,8,9828,4187
592,593,2474864424,82038,107588088,77,4,1,4,135065,162
593,678,2476849524,15700998,186215224,70,4,6,4,127188,23636
593,708,2390062123,11705452,247722376,52,4,5,4,91687,20276
616,621,2359291814,3129239,72383008,4,4,9,6,22679,4350
616,622,2355407894,3071734,82765856,4,4,9,6,22679,4418
616,648,2363763583,1409912,96611528,4,4,5,5,22679,2106
616,649,2357759071,1958188,106989472,4,4,6,5,22679,2614
616,650,2358663265,2329368,120826696,4,4,8,5,22679,3011
616,651,2339556454,2657804,131204632,4,4,9,6,22679,3874
616,680,2356825515,2415321,145058256,4,4,8,5,22679,3202
616,681,2356913365,2657905,155443616,4,4,9,6,22679,3710
616,826,2470908371,21171626,203874168,25,4,4,4,38932,13240
617,647,2412237910,717093,110199688,39,3,0,3,58044,451
617,708,2183909098,1259108,117129720,1,4,1,4,7618,4677
618,677,2010627105,248534,120597632,1,4,4,4,6402,1174
618,736,2040294286,1621114,127516560,1,4,5,7,9998,4250
618,766,2043666566,1306361,134435512,1,4,6,7,9828,3908
618,796,2045354963,1399175,137895008,1,4,4,8,9828,4006
619,706,2050010340,1460337,144813952,1,4,8,6,11477,3921
619,707,2064507205,2962836,158659312,4,4,7,6,16528,6351
619,736,1998896313,1549969,165578288,1,4,9,7,11477,4144
621,649,2455064915,10176972,67231056,77,4,4,1,140436,10657
644,646,2053177052,2292748,77738104,3,4,6,6,19938,7691
644,707,1990543121,5269756,84749440,1,4,6,8,16839,10756
646,676,2800210537,3069282,200332600,101,4,1,3,125703,785
647,648,2286804287,141257,217839872,4,4,0,4,22853,402
647,679,2267239859,3013838,231848168,4,4,1,4,23530,4888
647,797,2281215568,1697261,74828816,17,4,5,4,32940,7673
648,677,2142158645,158171,95855800,10,4,0,4,26471,456
648,679,2141439058,3328969,123874496,13,4,0,4,37556,3140
651,708,2387971563,14795004,190423384,56,4,4,4,96204,12592
668,788,2158577455,787606,200936096,2,4,5,4,5849,2170
676,678,2332068032,700747,211464432,2,4,4,4,9911,3108
676,679,2308068021,880741,214965952,2,4,5,5,9911,3436
