R1,R2,QT,PT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
621,680,2173039494,3604254,61487056,29,37,15,33,7502,2135
626,653,2025033449,7086624,66669280,19,34,5,34,6248,2531
744,774,1952128723,795483,23923432,52,39,0,39,8428,185
167,235,1965441586,4434165,30713120,15,21,22,22,14546,3875
197,202,1937391903,4657900,39080792,65,9,9,8,29945,4135
198,326,1988429388,1790886,27645232,33,3,4,3,15089,4632
201,326,2056431071,1740980,32030976,34,5,7,5,14917,3471
236,479,1989647986,1550341,41195080,33,3,4,3,16532,3801
267,479,2005731273,1590415,31293408,34,3,4,3,16711,3209
322,415,1958578671,10250808,36077416,30,26,27,23,11969,4690
325,532,2061064699,4216320,44447480,29,19,24,21,17822,6265
415,531,2000884862,5312459,33271704,61,5,6,6,20561,5968
435,529,1961639788,7875923,40449136,45,41,41,39,16935,6330
435,530,1965699841,8026996,29076232,44,42,42,41,17100,6764
469,501,1958671674,1918659,32665680,19,33,11,33,6123,1511
471,563,1998510854,8857788,39440176,47,35,27,35,10835,4811
472,534,1934456754,2918471,42629512,15,34,20,34,5697,2351
475,627,2052587994,4808294,30867880,75,6,5,5,20053,5511
499,529,2150838735,6055757,42673896,617,31,0,31,80208,1355
499,563,2035547653,9900520,31958528,23,37,37,37,9301,4366
531,627,2054003442,16150481,40559024,66,18,34,33,16469,8684
532,590,2039457867,2146654,44855840,9,33,42,33,7962,1964
554,560,2030316811,18256833,32545624,86,22,24,21,22880,8299
561,681,2080776762,21047005,41157576,61,29,5,30,12927,5432
563,621,2092795515,2100698,52340704,24,30,31,24,7578,1861
563,622,2107001342,7276880,39011264,38,32,6,31,9175,2011
599,659,1980995164,5870162,44257376,43,34,32,35,7259,2143
620,652,2069852543,5411932,48980032,21,37,14,38,7068,2124
627,688,2058004704,4806898,34216464,28,35,26,35,9429,2241
647,681,1964706691,2491990,37891624,11,34,21,34,7789,2536
649,681,1958648227,1639940,41562200,14,30,25,30,7491,1240
657,718,2021945075,3274006,48902224,37,44,42,35,8649,2145
675,706,1970830611,967442,52570728,10,36,16,38,6308,922
678,708,2017784542,879911,32225016,32,37,1,37,8285,497
682,711,2058139768,1364985,43551408,22,35,4,35,6127,986
684,714,2032473701,699665,54249048,65,34,1,33,8061,274
686,714,2062406835,1794199,61797232,20,22,23,18,4513,1500
710,715,2076838034,21230044,37248048,43,32,26,30,12193,5189
714,746,2084845588,3368811,44064240,25,38,17,34,6503,1825
737,767,1949668984,434561,49631568,37,35,1,34,6882,247
87,176,2029668545,916443,41654496,78,2,2,2,41323,2346
117,325,2063176992,2323311,53215968,48,2,2,2,24998,4777
165,199,1941961873,4792242,62934224,26,19,19,23,18684,1998
165,203,1948012031,3635119,38165464,25,10,11,10,15758,3354
165,204,1992210791,5594063,44694248,24,11,12,12,15758,3849
167,204,2056424944,5893900,55380992,60,11,12,8,29230,6183
167,265,1911244887,2104050,32741208,28,8,10,5,15256,4125
167,295,1947775464,1974861,38586600,32,4,6,4,15256,4534
169,325,1951696817,1565200,44446064,34,5,9,4,16100,4320
171,203,1950952650,3258378,56139528,67,12,12,4,31317,1846
171,235,2154369101,2126850,34672800,15,26,27,28,16203,2370
171,295,1915057192,1975672,41001808,28,10,12,6,15738,2884
199,234,1952904271,2252502,45604808,32,7,11,6,15913,2912
202,415,1928138539,1940284,51364192,28,10,17,12,15578,4617
202,445,1923372354,2292187,56541944,28,10,17,12,15578,4923
202,475,1929491951,2648286,33401296,28,10,18,13,15578,5448
205,298,1982067917,1161601,44149536,23,20,20,20,19859,1790
265,534,1959383303,3446964,54327896,28,24,27,27,21890,6682
295,534,1962707157,3311183,36878888,29,25,28,29,22299,6139
298,479,1904229161,851754,46316320,35,3,4,3,16845,2648
325,595,1959845378,4985055,52427704,39,29,33,27,19298,8440
356,530,1983919653,7074433,32333360,23,17,35,30,12599,5668
446,476,1916066559,229117,36146888,22,35,1,35,5613,153
